first_tcp,second_tcp,queue,base_rtt,ecn,stop_time,link_rate,git_commit,n_runs,throughput_mean_mbps_mean,throughput_mean_mbps_ci95,ping_rtt_mean_ms_mean,ping_rtt_mean_ms_ci95,ping_rtt_p95_ms_mean,ping_rtt_p95_ms_ci95,queue_delay_mean_ms_mean,queue_delay_mean_ms_ci95,queue_delay_p95_ms_mean,queue_delay_p95_ms_ci95,queue_delay_max_ms_mean,queue_delay_max_ms_ci95,cwnd_mean_segments_mean,cwnd_mean_segments_ci95,drop_count_mean,drop_count_ci95,mark_count_mean,mark_count_ci95,elapsed_wall_seconds_mean,elapsed_wall_seconds_ci95
reno,,codel,80ms,1,40s,50Mbps,e2c9e30c6ebdfd534aa7e30f6324b5674d138b9f,3,38.654646,0.0,80.70685172413793,0.0,84.27007,0.0,0.5789304125959785,0.0,4.08,0.0,6.239999999999999,0.0,272.5063974820144,0.0,0.0,0.0,2.0,0.0,24.6064293384552,0.1432736509095796
reno,,fq,10ms,0,40s,50Mbps,e2c9e30c6ebdfd534aa7e30f6324b5674d138b9f,3,47.61832666666667,0.0,10.708477931034482,0.0,10.953255,0.0,3.120346243582395,0.0,6.48,0.0,7.44,0.0,56.23490442137915,0.0,0.0,0.0,58.0,0.0,629.8514943917593,589.7354912959413
reno,,fq,10ms,1,40s,50Mbps,e2c9e30c6ebdfd534aa7e30f6324b5674d138b9f,3,47.61832666666667,0.0,10.708477931034482,0.0,10.953255,0.0,3.120346243582395,0.0,6.48,0.0,7.44,0.0,56.23490442137915,0.0,0.0,0.0,58.0,0.0,327.4877324104309,587.4403470061523
reno,,fq,50ms,0,40s,50Mbps,e2c9e30c6ebdfd534aa7e30f6324b5674d138b9f,3,40.11268333333334,0.0,50.43153,0.0,50.910175,0.0,0.8274692478241658,0.0,4.56,0.0,6.239999999999999,0.0,179.1120011148272,0.0,0.0,0.0,5.0,0.0,324.2010169823964,587.1928032678162
reno,,fq,50ms,1,40s,50Mbps,e2c9e30c6ebdfd534aa7e30f6324b5674d138b9f,3,40.11268333333334,0.0,50.43153,0.0,50.910175,0.0,0.8274692478241658,0.0,4.56,0.0,6.239999999999999,0.0,179.1120011148272,0.0,0.0,0.0,5.0,0.0,23.996843655904133,0.15402363972817879
reno,,fq,80ms,0,40s,50Mbps,e2c9e30c6ebdfd534aa7e30f6324b5674d138b9f,3,38.656188666666665,0.0,80.33221793103448,0.0,80.788645,0.0,0.579018041965006,0.0,4.08,0.0,6.239999999999999,0.0,272.5063974820144,0.0,0.0,0.0,2.0,0.0,23.751889944076538,0.15822025648662996
reno,,fq,80ms,1,40s,50Mbps,e2c9e30c6ebdfd534aa7e30f6324b5674d138b9f,3,38.656188666666665,0.0,80.33221793103448,0.0,80.788645,0.0,0.579018041965006,0.0,4.08,0.0,6.239999999999999,0.0,272.5063974820144,0.0,0.0,0.0,2.0,0.0,23.575479984283447,0.16048864435037494
reno,,pie,10ms,0,40s,50Mbps,e2c9e30c6ebdfd534aa7e30f6324b5674d138b9f,3,42.731434,0.0,12.240000344827587,0.0,16.007795,0.0,2.032153049238163,0.0,5.52,0.0,6.0,0.0,49.79724807750076,0.0,118.0,0.0,0.0,0.0,24.497209866841633,0.10667725341514381
reno,,pie,10ms,1,40s,50Mbps,e2c9e30c6ebdfd534aa7e30f6324b5674d138b9f,3,42.731434,0.0,12.240000344827587,0.0,16.007795,0.0,2.032153049238163,0.0,5.52,0.0,6.0,0.0,49.79724807750076,0.0,118.0,0.0,0.0,0.0,24.414935032526653,0.04053581327954442
reno,,pie,50ms,0,40s,50Mbps,e2c9e30c6ebdfd534aa7e30f6324b5674d138b9f,3,39.977536,0.0,50.89516505190311,0.0,55.11526,0.0,0.8040235976024933,0.0,4.56,0.0,6.0,0.0,179.518394106814,0.0,5.0,0.0,0.0,0.0,21.230761130650837,0.08448491522744132
reno,,pie,50ms,1,40s,50Mbps,e2c9e30c6ebdfd534aa7e30f6324b5674d138b9f,3,39.977536,0.0,50.89516505190311,0.0,55.11526,0.0,0.8040235976024933,0.0,4.56,0.0,6.0,0.0,179.518394106814,0.0,5.0,0.0,0.0,0.0,21.342845280965168,0.07913015882581546
reno,,pie,80ms,0,40s,50Mbps,e2c9e30c6ebdfd534aa7e30f6324b5674d138b9f,3,28.797048,0.0,80.44556862068966,0.0,82.51811000000001,0.0,0.44851947581986296,0.0,3.36,0.0,6.0,0.0,212.90232054794515,0.0,2.0,0.0,0.0,0.0,15.212676127751669,0.060482569619720525
reno,,pie,80ms,1,40s,50Mbps,e2c9e30c6ebdfd534aa7e30f6324b5674d138b9f,3,28.797048,0.0,80.44556862068966,0.0,82.51811000000001,0.0,0.44851947581986296,0.0,3.36,0.0,6.0,0.0,212.90232054794515,0.0,2.0,0.0,0.0,0.0,15.29727037747701,0.09672397201800967
reno,,red,10ms,0,40s,50Mbps,e2c9e30c6ebdfd534aa7e30f6324b5674d138b9f,3,46.07664533333334,0.006139404909520808,11.875742988505747,0.047495031134188403,14.324253333333333,0.03597154593329487,1.3600453488610624,0.0013901526781163953,3.6,0.0,4.413653333333333,0.14341973333333286,52.07570792898753,0.01142864604992298,84.0,0.0,0.0,0.0,26.079570770263672,0.0314902562450842
reno,,red,10ms,1,40s,50Mbps,e2c9e30c6ebdfd534aa7e30f6324b5674d138b9f,3,45.22920986666667,0.03875251880824658,11.719159195402298,0.03475118043970652,14.261908333333333,0.02054034594493993,1.2850381207658128,0.0066089829661855155,3.6,0.0,4.4868266666666665,0.14341973333333286,47.21897643712572,0.009250227555008695,0.0,0.0,78.66666666666667,0.6533333333333333,25.475336233774822,0.3618017038306454
reno,,red,50ms,0,40s,50Mbps,e2c9e30c6ebdfd534aa7e30f6324b5674d138b9f,3,36.656534444444446,2.332707382081947,50.45648034482758,0.051982991889813326,51.939065,0.2726104105364502,0.24992261682520558,0.014869931390889086,1.36,0.1568,2.8800000000000003,0.0,163.01289873594652,11.262490576427952,5.333333333333333,0.6533333333333333,0.0,0.0,19.42937095959981,1.197351550428877
reno,,red,50ms,1,40s,50Mbps,e2c9e30c6ebdfd534aa7e30f6324b5674d138b9f,3,37.707076888888885,0.02648192251005658,50.473694137931034,0.018705826228924704,52.06605666666667,0.055128617702521754,0.2580941985963611,0.005322637454650189,1.4400000000000002,0.0,3.1199999999999997,0.0,168.10054460779625,0.17293357961749511,0.0,0.0,6.666666666666667,1.728557523228866,19.991722265879314,0.1246761993506195
reno,,red,80ms,0,40s,50Mbps,e2c9e30c6ebdfd534aa7e30f6324b5674d138b9f,3,31.25066911111111,0.056508542222223304,80.26572735632185,0.0032398574712586502,80.67428333333334,0.006912266666660306,0.16028395369985463,0.0007326661233189591,0.24,0.0,2.48,0.15680000000000013,233.07569586374697,0.09650615571776523,1.3333333333333333,0.6533333333333333,0.0,0.0,16.48325030008952,0.11145318217942322
reno,,red,80ms,1,40s,50Mbps,e2c9e30c6ebdfd534aa7e30f6324b5674d138b9f,3,31.187215555555554,0.018163537777775032,80.26676540229886,0.004368321839086207,80.67203333333333,0.011145866666657869,0.16142963451612313,0.0008858192443236058,0.24,0.0,2.72,0.15679999999999983,227.69302553994154,0.22023475393756484,0.0,0.0,2.0,0.0,16.313458681106567,0.07507959688171141
