#Time(s) qlen(pkts) qlen(us)
4.46 193 231 0.12, 0.19, 0.13, 0.12, 0.18, 0.16, 0.20, 0.16, 0.10, 0.14, 0.18, 0.15, 0.13, 0.20, 0.12, 0.14, 0.17, 0.16, 0.13, 0.15, 0.14, 0.21, 0.12, 0.13, 0.18, 0.15, 0.14, 0.15, 0.16, 0.16, 0.17, 0.16, 0.14, 0.19, 0.17, 0.15, 0.15, 0.13, 0.18, 0.11, 
4.47 184 220 0.14, 0.14, 0.11, 0.12, 0.16, 0.15, 0.15, 0.11, 0.15, 0.17, 0.16, 0.15, 0.18, 0.14, 0.12, 0.12, 0.11, 0.16, 0.10, 0.12, 0.13, 0.14, 0.16, 0.15, 0.14, 0.13, 0.16, 0.19, 0.12, 0.12, 0.15, 0.15, 0.14, 0.11, 0.12, 0.15, 0.18, 0.14, 0.14, 0.15, 
4.48 194 232 0.16, 0.10, 0.13, 0.18, 0.14, 0.16, 0.17, 0.10, 0.12, 0.19, 0.20, 0.16, 0.17, 0.11, 0.15, 0.10, 0.13, 0.13, 0.18, 0.10, 0.15, 0.14, 0.17, 0.16, 0.14, 0.15, 0.22, 0.12, 0.12, 0.12, 0.14, 0.11, 0.18, 0.14, 0.12, 0.15, 0.15, 0.14, 0.13, 0.19, 
4.49 187 224 0.14, 0.12, 0.17, 0.24, 0.16, 0.10, 0.14, 0.15, 0.15, 0.12, 0.15, 0.18, 0.14, 0.16, 0.14, 0.17, 0.14, 0.14, 0.17, 0.12, 0.12, 0.16, 0.15, 0.10, 0.16, 0.13, 0.25, 0.12, 0.15, 0.17, 0.14, 0.12, 0.17, 0.15, 0.13, 0.18, 0.13, 0.12, 0.12, 0.13, 
4.50 196 235 0.18, 0.15, 0.17, 0.16, 0.12, 0.12, 0.19, 0.13, 0.19, 0.10, 0.17, 0.19, 0.18, 0.10, 0.15, 0.12, 0.14, 0.13, 0.13, 0.10, 0.16, 0.16, 0.13, 0.14, 0.16, 0.19, 0.16, 0.16, 0.15, 0.15, 0.14, 0.13, 0.16, 0.14, 0.14, 0.15, 0.15, 0.15, 0.11, 0.18, 
4.51 203 243 0.11, 0.12, 0.14, 0.16, 0.14, 0.10, 0.11, 0.15, 0.13, 0.15, 0.14, 0.17, 0.14, 0.11, 0.12, 0.13, 0.12, 0.16, 0.11, 0.13, 0.13, 0.19, 0.13, 0.17, 0.15, 0.16, 0.14, 0.23, 0.12, 0.11, 0.14, 0.11, 0.14, 0.11, 0.13, 0.12, 0.15, 0.22, 0.18, 0.19, 
4.52 190 228 0.14, 0.12, 0.12, 0.15, 0.10, 0.12, 0.11, 0.17, 0.15, 0.13, 0.19, 0.12, 0.17, 0.14, 0.16, 0.13, 0.13, 0.12, 0.11, 0.15, 0.11, 0.23, 0.17, 0.20, 0.16, 0.14, 0.13, 0.16, 0.17, 0.15, 0.16, 0.19, 0.15, 0.10, 0.15, 0.14, 0.15, 0.12, 0.11, 0.11, 
4.53 192 230 0.09, 0.14, 0.11, 0.11, 0.13, 0.15, 0.11, 0.18, 0.11, 0.12, 0.12, 0.11, 0.15, 0.13, 0.15, 0.14, 0.21, 0.14, 0.13, 0.11, 0.16, 0.22, 0.12, 0.14, 0.18, 0.20, 0.09, 0.15, 0.16, 0.15, 0.12, 0.15, 0.12, 0.13, 0.21, 0.14, 0.09, 0.16, 0.17, 0.11, 
4.54 195 234 0.16, 0.12, 0.19, 0.17, 0.14, 0.13, 0.18, 0.14, 0.13, 0.15, 0.13, 0.08, 0.17, 0.17, 0.17, 0.11, 0.12, 0.17, 0.15, 0.18, 0.18, 0.18, 0.14, 0.12, 0.09, 0.14, 0.15, 0.15, 0.17, 0.13, 0.17, 0.08, 0.17, 0.12, 0.17, 0.12, 0.12, 0.14, 0.14, 0.13, 
4.55 199 238 0.15, 0.12, 0.18, 0.19, 0.16, 0.18, 0.17, 0.12, 0.18, 0.14, 0.15, 0.20, 0.11, 0.17, 0.16, 0.09, 0.12, 0.14, 0.13, 0.11, 0.15, 0.18, 0.13, 0.12, 0.11, 0.15, 0.14, 0.14, 0.12, 0.13, 0.13, 0.15, 0.12, 0.12, 0.16, 0.09, 0.15, 0.13, 0.12, 0.15, 
4.56 194 232 0.13, 0.16, 0.15, 0.18, 0.17, 0.14, 0.17, 0.15, 0.12, 0.17, 0.13, 0.13, 0.14, 0.23, 0.14, 0.10, 0.13, 0.14, 0.16, 0.11, 0.18, 0.12, 0.10, 0.17, 0.11, 0.13, 0.18, 0.12, 0.13, 0.18, 0.09, 0.14, 0.15, 0.15, 0.12, 0.13, 0.14, 0.14, 0.14, 0.14, 
4.57 203 243 0.16, 0.17, 0.13, 0.14, 0.10, 0.15, 0.17, 0.17, 0.16, 0.15, 0.18, 0.16, 0.15, 0.13, 0.11, 0.14, 0.14, 0.16, 0.13, 0.12, 0.19, 0.13, 0.10, 0.13, 0.16, 0.16, 0.16, 0.16, 0.14, 0.11, 0.15, 0.14, 0.18, 0.14, 0.14, 0.13, 0.14, 0.10, 0.16, 0.15, 
4.58 194 232 0.20, 0.13, 0.15, 0.13, 0.13, 0.16, 0.16, 0.13, 0.13, 0.15, 0.21, 0.16, 0.13, 0.13, 0.15, 0.11, 0.16, 0.18, 0.16, 0.12, 0.12, 0.11, 0.15, 0.16, 0.16, 0.16, 0.19, 0.15, 0.11, 0.13, 0.10, 0.17, 0.17, 0.11, 0.16, 0.15, 0.21, 0.11, 0.19, 0.15, 
4.59 187 224 0.12, 0.10, 0.17, 0.16, 0.10, 0.17, 0.10, 0.14, 0.13, 0.15, 0.15, 0.12, 0.13, 0.16, 0.15, 0.12, 0.17, 0.13, 0.14, 0.14, 0.17, 0.15, 0.11, 0.12, 0.13, 0.18, 0.13, 0.11, 0.12, 0.17, 0.17, 0.16, 0.12, 0.23, 0.16, 0.14, 0.19, 0.10, 0.18, 0.15, 
4.60 189 226 0.09, 0.14, 0.13, 0.12, 0.12, 0.13, 0.15, 0.17, 0.13, 0.13, 0.15, 0.16, 0.11, 0.18, 0.15, 0.17, 0.17, 0.15, 0.15, 0.15, 0.16, 0.15, 0.11, 0.14, 0.20, 0.14, 0.14, 0.11, 0.17, 0.16, 0.18, 0.15, 0.11, 0.18, 0.17, 0.13, 0.19, 0.10, 0.14, 0.17, 
4.61 192 230 0.17, 0.12, 0.17, 0.10, 0.13, 0.12, 0.15, 0.23, 0.10, 0.15, 0.12, 0.19, 0.11, 0.14, 0.13, 0.24, 0.12, 0.18, 0.14, 0.13, 0.16, 0.14, 0.13, 0.14, 0.18, 0.14, 0.11, 0.14, 0.14, 0.15, 0.14, 0.16, 0.18, 0.16, 0.14, 0.12, 0.13, 0.15, 0.20, 0.14, 
4.62 189 226 0.11, 0.10, 0.13, 0.13, 0.15, 0.12, 0.15, 0.17, 0.12, 0.13, 0.12, 0.20, 0.13, 0.19, 0.14, 0.22, 0.14, 0.24, 0.15, 0.14, 0.10, 0.13, 0.13, 0.15, 0.12, 0.13, 0.11, 0.17, 0.13, 0.20, 0.14, 0.16, 0.17, 0.16, 0.14, 0.17, 0.16, 0.12, 0.13, 0.12, 
4.63 199 238 0.14, 0.15, 0.13, 0.11, 0.16, 0.16, 0.11, 0.17, 0.09, 0.13, 0.14, 0.19, 0.14, 0.17, 0.14, 0.18, 0.11, 0.11, 0.18, 0.13, 0.12, 0.13, 0.20, 0.13, 0.13, 0.18, 0.14, 0.11, 0.15, 0.18, 0.14, 0.13, 0.14, 0.13, 0.15, 0.13, 0.12, 0.10, 0.16, 0.18, 
4.64 196 235 0.11, 0.14, 0.15, 0.12, 0.13, 0.15, 0.16, 0.16, 0.20, 0.14, 0.15, 0.17, 0.16, 0.18, 0.13, 0.12, 0.14, 0.10, 0.22, 0.17, 0.16, 0.17, 0.14, 0.17, 0.17, 0.13, 0.12, 0.12, 0.18, 0.19, 0.14, 0.14, 0.18, 0.16, 0.17, 0.14, 0.13, 0.11, 0.13, 0.16, 
4.65 205 246 0.12, 0.12, 0.16, 0.12, 0.13, 0.17, 0.15, 0.18, 0.19, 0.14, 0.16, 0.13, 0.15, 0.14, 0.15, 0.16, 0.14, 0.12, 0.15, 0.11, 0.17, 0.12, 0.15, 0.16, 0.17, 0.12, 0.16, 0.11, 0.10, 0.19, 0.16, 0.11, 0.15, 0.15, 0.10, 0.19, 0.13, 0.17, 0.18, 0.18, 
